Factor,legend.low,legend.high,HSV,RGB,R,G,B,Hex
CWD,0,100,"230,65,65","58,76,166",58,76,166,#3A4CA6
CWD,101,200,"220,72,58","41,77,148",41,77,148,#294D94
CWD,201,300,"210,80,50","25,77,128",25,77,128,#194D80
CWD,301,400,"200,95,50","6,87,128",6,87,128,#065780
CWD,401,500,"195,95,55","7,107,140",7,107,140,#076B8C
CWD,501,550,"190,92,55","11,119,140",11,119,140,#0B778C
CWD,551,600,"187,89,57","16,130,145",16,130,145,#108291
CWD,601,650,"176,85,51","20,130,123",20,130,123,#14827B
CWD,651,700,"165,85,51","20,130,102",20,130,102,#148266
CWD,701,750,"150,100,50","0,128,64",0,128,64,#008040
CWD,751,800,"127,85,56","21,143,36",21,143,36,#158F24
CWD,801,850,"104,70,63","78,161,48",78,161,48,#4EA130
CWD,851,900,"82,55,70","143,179,80",143,179,80,#8FB350
CWD,901,950,"60,60,90","230,230,92",230,230,92,#E6E65C
CWD,951,1000,"55,75,98","250,234,62",250,234,62,#FAEA3E
CWD,1001,1050,"55,40,99","252,244,151",252,244,151,#FCF497
CWD,1051,1100,"45,40,97","247,223,148",247,223,148,#F7DF94
CWD,1101,1150,"45,50,97","247,216,124",247,216,124,#F7D87C
CWD,1151,1200,"40,60,95","242,194,97",242,194,97,#F2C261
CWD,1201,1250,"35,70,90","230,163,69",230,163,69,#E6A345
CWD,1250,1300,"30,75,88","224,140,56",224,140,56,#E08C38