name,Stem.P50,Leaf.P50,CWD_rs,PPT_rs
Notholithocarpus densiflorus,-3.93,-3.89,NA,NA
Quercus agrifolia,-4.32,-3.91,901,479
Quercus berberidifolia,-5.64,-5.35,956,463
Quercus cedrosensis,NA,NA,NA,NA
Quercus chrysolepis,-4.08,-4.86,806,585
Quercus cornelius-mulleri,-5.26,-6.11,1073,309
Quercus douglasii,-4.48,-3.73,895,536
Quercus dumosa,-5.86,-4.95,927,329
Quercus durata,-4.29,-3.82,845,618
Quercus engelmannii,NA,NA,NA,NA
Quercus garryana,-3.38,-3.52,588,981
Quercus john-tuckeri,-6.16,-5.11,984,345
Quercus kelloggii,-3.86,-3.56,787,658
Quercus lobata,-3.58,-3.02,891,496
Quercus pacifica,-6.55,-5.23,603,543
Quercus palmeri,-5.11,-5.23,971,384
Quercus parvula,-3.89,-3.94,582,848
Quercus sadleriana,-2.74,-2.72,458,1691
Quercus tomentella,-4.52,-3.95,544,499
Quercus turbinella,NA,NA,NA,NA
Quercus vacciniifolia,-3.59,-3.15,563,1308
Quercus wislizeni,-4.36,-3.76,880,572